"","Y1_CRNT","Y2_CRNT","Y3_CRNT","Y1_YCNT","Y2_YCNT","Y3_YCNT"
"FBgn0031208",26,51,42,195,221,360
"FBgn0263584",0,0,0,0,0,0
"FBgn0267987",4,5,3,24,47,35
"FBgn0266878",0,0,0,0,1,5
"FBgn0266879",0,0,0,0,0,0
"FBgn0067779",2,3,7,43,16,29
"FBgn0031213",50,69,37,254,301,310
"FBgn0031214",13,7,4,25,33,64
"FBgn0031216",3,1,8,2,17,16
"FBgn0031217",15,25,17,132,128,140
"FBgn0005278",131,183,167,801,762,750
"FBgn0031228",466,643,499,3051,3858,3760
"FBgn0266304",0,0,0,0,0,0
"FBgn0001142",184,281,208,1436,1369,1374
"FBgn0265074",0,0,1,5,5,6
"FBgn0265075",0,0,0,0,0,0
"FBgn0031224",41,46,36,174,185,261
"FBgn0031229",13,22,22,117,193,243
"FBgn0016977",38,70,35,265,323,266
"FBgn0031231",123,180,113,916,932,843
"FBgn0031233",11,29,21,267,174,127
"FBgn0265151",0,4,0,2,8,4
"FBgn0265153",0,4,4,12,22,22
"FBgn0265152",2,0,3,4,17,8
"FBgn0031235",17,35,23,200,246,253
"FBgn0265149",1,1,0,12,4,14
"FBgn0265150",0,0,0,0,0,0
"FBgn0031240",73,88,63,359,483,384
"FBgn0086856",13,25,15,90,166,143
"FBgn0003444",0,5,2,1,12,7
"FBgn0267995",0,2,1,5,2,4
"FBgn0267996",0,0,0,1,5,1
"FBgn0031247",136,154,129,912,983,861
"FBgn0024352",95,96,65,454,492,458
"FBgn0020622",19,24,21,134,107,97
"FBgn0004611",3,10,13,64,81,46
"FBgn0053127",265,435,371,1783,2050,2161
"FBgn0266907",0,0,0,0,0,0
"FBgn0266906",0,0,0,0,2,5
"FBgn0000061",6,1,0,12,4,9
"FBgn0263871",2,2,10,33,36,48
"FBgn0003278",3,2,9,6,22,8
"FBgn0263933",22,32,13,73,151,51
"FBgn0002593",2798,3857,2998,17130,20336,20515
"FBgn0031254",1,0,0,21,1,3
"FBgn0031255",2,1,5,29,15,9
"FBgn0004583",6,0,3,15,16,13
"FBgn0263870",2,2,0,22,16,28
"FBgn0031256",70,62,50,256,348,344
"FBgn0262510",0,0,0,0,0,0
"FBgn0031257",4,15,7,51,34,28
"FBgn0027592",11,10,8,15,76,81
"FBgn0003963",0,3,0,6,20,12
"FBgn0267991",0,0,2,0,0,1
"FBgn0031261",0,0,0,0,0,0
"FBgn0031263",59,86,54,420,413,485
"FBgn0031265",43,44,56,173,204,174
"FBgn0031266",16,34,19,50,98,120
"FBgn0031268",37,69,43,332,390,370
"FBgn0023489",6,17,14,81,41,71
"FBgn0267827",0,3,2,2,3,5
"FBgn0031270",15,8,5,36,52,58
"FBgn0263657",3,5,2,20,36,14
"FBgn0266032",1,0,0,1,0,7
"FBgn0040107",3,10,6,33,53,37
"FBgn0031273",0,1,6,3,10,8
"FBgn0266909",0,0,0,0,0,0
"FBgn0266323",1,0,0,5,12,8
"FBgn0011244",222,264,259,1166,1480,1170
"FBgn0031275",3,23,9,121,72,39
"FBgn0265825",5,9,3,36,35,38
"FBgn0031276",103,149,102,919,1059,1054
"FBgn0040725",36,65,50,400,388,403
"FBgn0031277",56,115,53,75,128,240
"FBgn0041250",0,3,0,0,0,3
"FBgn0031279",36,48,52,240,305,275
"FBgn0266797",0,0,0,0,0,0
"FBgn0051658",0,0,0,5,5,6
"FBgn0086130",14,23,19,70,60,45
"FBgn0031282",25,24,24,142,130,123
"FBgn0015621",13,16,13,57,96,86
"FBgn0031285",696,940,758,3898,4585,4458
"FBgn0010583",45,53,64,309,334,281
"FBgn0264869",0,0,0,0,2,3
"FBgn0020545",363,453,328,1971,2186,2023
"FBgn0031288",8,9,12,55,119,80
"FBgn0266884",7,9,16,39,72,60
"FBgn0031289",6,5,7,35,25,33
"FBgn0053526",72,123,60,381,440,441
"FBgn0002936",0,0,0,0,0,0
"FBgn0002563",5,12,14,33,60,65
"FBgn0266799",0,0,6,6,1,7
"FBgn0046113",0,2,0,13,77,58
"FBgn0028481",4,6,16,106,35,67
"FBgn0287617",1,0,6,0,4,0
"FBgn0031296",9,12,11,66,76,79
"FBgn0015905",9,9,8,78,97,75
"FBgn0031298",67,89,72,364,416,472
"FBgn0031301",14,24,4,126,144,73
"FBgn0031302",6,2,0,40,30,18
"FBgn0031304",90,136,104,509,709,488
"FBgn0031306",27,45,23,166,140,160
"FBgn0267281",0,0,0,2,0,1
"FBgn0031307",12,11,15,89,72,116
"FBgn0283525",22,17,13,39,38,39
"FBgn0031310",36,79,52,247,344,402
"FBgn0031312",18,36,26,131,123,160
"FBgn0031314",10,21,2,48,49,54
"FBgn0031315",10,17,15,78,91,100
"FBgn0051922",2,15,2,30,10,10
"FBgn0031318",3,6,5,45,32,33
"FBgn0031319",23,18,18,61,67,116
"FBgn0031321",20,12,3,40,63,61
"FBgn0031322",74,121,97,362,463,446
"FBgn0263080",5,14,4,26,50,39
